playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
taillja01,2023,1,CHN,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taillja01,2024,1,CHN,NL,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taillja01,2025,1,CHN,NL,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tapiado01,2023,1,SDN,NL,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tapiara01,2023,1,BOS,AL,39,87,14,23,4,1,1,10,6,1,9,19,0,0,0,0,1
tapiara01,2023,2,MIL,NL,20,52,10,9,0,0,2,3,2,1,6,20,0,1,1,1,1
tapiara01,2023,3,TBA,AL,5,9,4,3,0,0,0,0,2,0,2,1,0,0,0,0,0
tarnofr01,2023,1,OAK,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tarnofr01,2025,1,MIA,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatedi01,2024,1,BAL,AL,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatedi01,2024,2,TOR,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatedi01,2025,1,TOR,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tatisfe02,2023,1,SDN,NL,141,575,91,148,33,1,25,78,29,4,53,141,0,3,1,3,17
tatisfe02,2024,1,SDN,NL,102,398,64,110,21,1,21,49,11,3,32,96,0,7,0,1,8
tatisfe02,2025,1,SDN,NL,155,594,111,159,27,2,25,71,32,7,89,129,7,6,0,2,6
tauchmi01,2023,1,CHN,NL,108,337,64,85,18,0,8,48,7,1,56,86,1,4,1,3,3
tauchmi01,2024,1,CHN,NL,109,298,50,74,12,1,7,29,6,2,47,70,0,4,0,1,7
tauchmi01,2025,1,CHA,AL,93,335,44,88,17,1,9,40,0,0,45,86,0,4,0,1,5
taverle01,2023,1,TEX,AL,143,511,67,136,31,3,14,67,14,4,35,117,0,1,3,4,3
taverle01,2024,1,TEX,AL,151,480,59,110,17,3,12,44,23,6,42,112,0,0,3,4,8
taverle01,2025,1,TEX,AL,30,79,7,19,3,1,1,8,6,1,2,23,0,0,1,0,0
taverle01,2025,2,SEA,AL,28,92,6,16,3,0,2,9,3,2,3,27,0,0,2,1,0
tawati01,2025,1,ARI,NL,74,199,29,40,8,0,7,18,8,2,20,64,0,1,2,3,6
tayloch03,2023,1,LAN,NL,117,338,51,80,15,1,15,56,16,3,41,125,2,4,0,1,2
tayloch03,2024,1,LAN,NL,87,213,28,43,7,1,4,23,5,1,28,76,0,2,1,2,5
tayloch03,2025,1,LAN,NL,28,35,4,7,2,0,0,2,0,1,0,13,0,0,0,0,1
tayloch03,2025,2,LAA,AL,30,78,11,14,5,0,2,10,2,1,5,29,0,6,0,1,0
taylogr02,2025,1,CHA,AL,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taylojo02,2023,1,KCA,AL,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taylomi02,2023,1,MIN,AL,129,355,48,78,14,1,21,51,13,1,26,130,0,3,3,1,7
